Hour,DayOfWeek,Hour,Temp,A/D,Runway,Airline,From/To,Aircraft Type
12,4,12,26.2,0,0,2,2,2
18,4,18,6.5,0,0,4,9,4
6,5,6,1.0,0,0,1,1,7
12,5,12,20.5,0,0,4,54,1
22,5,22,11.3,0,0,5,3,4
19,6,19,25.6,0,0,13,5,5
15,1,15,29.2,0,0,5,12,1
12,6,12,20.7,0,1,0,5,6
0,5,0,6.5,1,2,4,44,5
10,6,10,6.8,0,0,0,6,0
7,6,7,7.4,0,0,0,11,6
5,1,5,8.5,0,0,4,31,4
16,1,16,31.5,0,0,0,9,6
13,4,13,24.7,0,0,23,43,0
11,5,11,24.8,0,0,0,9,5
7,6,7,14.4,0,1,21,3,5
12,3,12,22.6,0,0,0,28,6
12,1,12,14.2,0,0,0,9,6
15,2,15,24.8,0,0,0,3,5
6,4,6,4.2,0,0,4,18,1
13,1,13,10.7,0,0,5,6,1
15,0,15,9.9,0,0,4,30,5
10,6,10,16.8,0,1,0,12,6
0,6,0,8.1,0,0,2,2,8
13,2,13,25.5,0,1,0,12,5
15,5,15,19.4,0,0,0,29,6
11,3,11,22.6,0,1,0,12,6
17,6,17,20.4,0,0,0,5,6
23,4,23,17.6,0,0,0,19,0
7,3,7,8.3,0,0,21,3,14
13,4,13,15.5,0,0,9,21,11
15,3,15,29.4,0,1,0,5,6
13,3,13,18.6,1,2,4,12,1
19,5,19,26.2,0,0,0,13,6
11,1,11,18.5,0,0,0,19,7
12,0,12,15.1,0,0,5,12,1
12,3,12,21.9,0,0,6,18,8
16,2,16,24.9,0,0,4,9,1
23,3,23,17.6,0,1,0,35,0
3,1,3,11.6,0,0,20,7,15
8,4,8,11.7,0,0,4,39,1
4,4,4,8.2,0,0,0,40,5
14,5,14,22.8,0,0,30,1,15
23,3,23,15.3,0,0,19,15,7
1,4,1,17.8,0,0,0,46,0
21,6,21,15.6,0,0,0,30,5
11,3,11,13.7,0,0,0,16,0
11,5,11,15.4,0,0,0,41,5
19,5,19,20.1,0,1,0,26,5
5,1,5,5.6,0,0,0,10,6
6,2,6,4.3,0,0,4,9,4
8,3,8,7.2,0,0,6,18,27
19,6,19,27.7,0,0,5,18,1
9,1,9,9.3,0,0,7,67,24
13,6,13,28.6,0,1,10,22,11
6,5,6,1.6,0,0,4,9,4
